,open,high,low,close,adjclose,volume,ticker,adjclose_1,true_adjclose_1,profitBuy,profitSell
2017-06-23,76.48999786376953,77.39800262451172,75.87000274658203,76.69000244140625,76.69000244140625,32229000,TSLA,75.87802,75.49800109863281,0.0,0.811981201171875
2017-06-30,72.74199676513672,73.35399627685547,71.92400360107422,72.3219985961914,72.3219985961914,29242500,TSLA,71.39121,70.52400207519531,0.0,0.9307861328125
2017-07-07,62.70000076293945,63.400001525878906,61.47600173950195,62.64400100708008,62.64400100708008,70884500,TSLA,59.425335,63.20999908447265,-3.2186660766601562,0.0
2017-07-11,63.20000076293945,65.45600128173828,62.86000061035156,65.44400024414062,65.44400024414062,57797000,TSLA,62.673565,65.90399932861328,-2.770435333251953,0.0
2017-07-28,67.37799835205078,67.91999816894531,66.50199890136719,67.01399993896484,67.01399993896484,24402000,TSLA,66.91356,64.69400024414062,0.0,0.10044097900390625
2017-07-31,67.0999984741211,68.2979965209961,64.20800018310547,64.69400024414062,64.69400024414062,42675500,TSLA,65.47179,63.91400146484376,0.0,-0.7777862548828125
2017-08-03,69.06600189208984,70.0,68.62999725341797,69.41799926757812,69.41799926757812,67675000,TSLA,66.74006,71.38200378417969,-2.6779403686523438,0.0
2017-08-04,69.4000015258789,71.4540023803711,68.66000366210938,71.38200378417969,71.38200378417969,46344500,TSLA,70.45335,71.03399658203125,0.0,0.9286575317382812
2017-08-08,71.50599670410156,73.71600341796875,71.4800033569336,73.04399871826172,73.04399871826172,37249000,TSLA,73.47109,72.70600128173828,0.0,-0.427093505859375
2017-08-09,72.19999694824219,74.0,71.79000091552734,72.70600128173828,72.70600128173828,34460500,TSLA,73.45547,71.08000183105469,0.0,-0.7494659423828125
2017-08-11,71.39399719238281,72.25199890136719,70.7239990234375,71.5739974975586,71.5739974975586,21829000,TSLA,71.19423,72.76000213623047,-0.37976837158203125,0.0
2017-08-14,72.9260025024414,73.53199768066406,72.5199966430664,72.76000213623047,72.76000213623047,22596000,TSLA,71.80527,72.46600341796875,0.0,0.9547348022460938
2017-08-16,72.5999984741211,73.30000305175781,72.50399780273438,72.58200073242188,72.58200073242188,17069000,TSLA,72.30928,70.38400268554688,0.0,0.2727203369140625
2017-08-22,68.22599792480469,68.447998046875,67.4739990234375,68.2699966430664,68.2699966430664,21610000,TSLA,66.415504,70.55400085449219,-1.8544921875,0.0
2017-08-23,67.7979965209961,70.697998046875,67.66000366210938,70.55400085449219,70.55400085449219,24772500,TSLA,67.72334,70.58599853515625,-2.830657958984375,0.0
2017-09-12,72.89800262451172,73.75199890136719,72.08000183105469,72.55000305175781,72.55000305175781,29864500,TSLA,72.57984,73.24600219726562,0.02983856201171875,0.0
2017-09-14,72.86599731445312,75.59200286865234,72.5260009765625,75.52799987792969,75.52799987792969,36012500,TSLA,74.53721,75.96199798583984,-0.9907913208007812,0.0
2017-09-19,76.0,76.47799682617188,74.71399688720703,75.0199966430664,75.0199966430664,32259500,TSLA,76.39119,74.78199768066406,0.0,-1.3711929321289062
2017-09-20,74.5999984741211,75.6500015258789,74.21399688720703,74.78199768066406,74.78199768066406,24595500,TSLA,75.151764,73.2959976196289,0.0,-0.3697662353515625
2017-09-21,74.9800033569336,75.36599731445312,72.9020004272461,73.2959976196289,73.2959976196289,23091000,TSLA,73.7808,70.21800231933594,0.0,-0.48480224609375
2017-09-22,73.2979965209961,73.9800033569336,70.1760025024414,70.21800231933594,70.21800231933594,40797000,TSLA,71.29979,68.99800109863281,0.0,-1.081787109375
2017-09-28,67.97599792480469,68.55000305175781,67.08000183105469,67.91999816894531,67.91999816894531,26598000,TSLA,67.107315,68.22000122070312,-0.81268310546875,0.0
2017-10-19,71.11199951171875,71.43000030517578,69.63999938964844,70.36199951171875,70.36199951171875,25309000,TSLA,70.55836,69.0199966430664,0.0,-0.19635772705078125
